eid,subject,ts_all_zero,mean_global_nonzero_frac,mean_atlas_nonzero_frac,bbox_x0,bbox_x1,bbox_y0,bbox_y1,bbox_z0,bbox_z1,com_x,com_y,com_z
1002387,1002387_20227_2_0,1,0.03796465657540363,0.0,0,36,0,33,0,46,14.845920392202638,13.830775067118012,20.903029065016927
1002597,1002597_20227_2_0,1,0.047380485227042336,0.0,0,33,0,48,0,58,10.836953726003694,17.39787686767835,24.410129305305492
1003760,1003760_20227_2_0,0,0.007480371226716624,0.3535821643286573,25,46,47,75,24,49,34.51140402843602,60.51510663507109,36.370704976303315
1005039,1005039_20227_2_0,0,0.06162664837934522,0.498496993987976,9,51,30,75,6,73,28.719232013806494,51.25074605400352,42.13551217056772
1006338,1006338_20227_2_0,1,0.04120408274052795,0.0,0,41,0,47,0,48,13.902667240266725,17.207652183265218,20.05893740589374
1006367,1006367_20227_2_0,0,0.062245950440324875,0.5152805611222445,8,51,29,74,8,74,28.26006941354454,51.16616534662276,42.82539823796387
1006526,1006526_20227_2_0,0,0.08695931551058075,0.407064128256513,14,71,57,107,17,79,44.44584161443204,79.56642715181165,48.03094582887428
1007099,1007099_20227_2_0,1,0.024077444885994136,0.0,0,30,0,43,0,27,10.919707357474808,18.39460727925275,11.603092071964294
1007433,1007433_20227_2_0,1,0.007084859892602609,0.0,35,66,0,17,0,19,51.32384675527756,5.629397967161845,7.960750586395622
1008862,1008862_20227_2_0,1,0.029796295044807998,0.0,0,41,0,40,0,32,15.587655698085145,17.82610150585611,12.180107826733593
1010001,1010001_20227_2_0,1,0.02830841907361718,0.0,0,42,0,36,0,28,15.2244442705072,13.866898872886663,11.928029117094553
1011000,1011000_20227_2_0,0,0.10435516696228461,0.5250501002004008,12,74,52,108,15,80,44.63029492324352,78.55176550523387,47.92187400471368
1013719,1013719_20227_2_0,0,0.09056544826279679,0.4276052104208417,12,72,54,107,16,78,43.9441569721213,79.35151137044784,47.946420052112
1013732,1013732_20227_2_0,1,0.0018124833126345375,0.0,36,49,6,20,18,34,42.640586797066014,12.648533007334963,25.371638141809292
1015665,1015665_20227_2_0,1,0.0010812858882220714,0.0,38,52,0,5,25,43,45.216188524590166,1.8780737704918034,33.67520491803279
1016888,1016888_20227_2_0,0,0.061892538351858845,0.5033817635270541,9,50,30,75,7,73,28.21975799233881,51.50678409050227,42.56393871048581
1017078,1017078_20227_2_0,1,0.003095402430012774,0.0,22,41,31,47,39,56,30.29241231209735,39.337866857551894,47.62777380100215
1017844,1017844_20227_2_0,1,0.045231207949223876,0.0,0,40,0,37,0,41,17.040732848360154,15.447302030519019,19.223577534474735
1018012,1018012_20227_2_0,0,0.09128999843789641,0.004133266533066132,3,45,5,46,0,90,25.363757721386875,26.587820536158542,38.02890741617213
1018866,1018866_20227_2_0,0,0.015413863281591883,0.23183867735470942,31,57,31,62,34,67,44.17559117372242,47.170344282325885,49.14418170056781
1020156,1020156_20227_2_0,0,0.020039240928443468,0.04308617234468938,18,48,15,53,25,63,31.90982972136223,33.33580274214949,44.86819991154356
1020993,1020993_20227_2_0,0,0.08962153886037343,0.25425851703406815,13,82,61,107,19,82,45.102367266209285,83.08077137029483,47.878991284999074
1021345,1021345_20227_2_0,0,0.0045888177756309625,0.000125250501002004,20,41,31,50,38,56,30.328585224529213,40.558184451955576,47.623128923225494
1021980,1021980_20227_2_0,0,0.0505346050259852,0.3832665330661323,9,51,26,70,20,68,28.554873503748848,48.04472311132547,45.63015740781339
1023969,1023969_20227_2_0,1,0.03557829407209385,0.0,0,33,0,43,0,46,11.655944447904341,16.827863237217414,19.376969545992402
1025869,1025869_20227_2_0,1,0.0018667691820227358,0.0,37,49,6,19,18,36,43.24807121661721,12.105637982195846,26.226706231454006
1026826,1026826_20227_2_0,1,0.002590211482236888,0.0,23,39,32,47,39,55,30.288708297690334,39.6497005988024,47.67408041060736
1029301,1029301_20227_2_0,0,0.10201311945439377,0.5304358717434869,11,73,53,108,16,80,44.23982406602954,78.70464813205908,47.79362510860122
1032061,1032061_20227_2_0,0,0.005750978530492595,0.016533066132264528,21,41,30,54,27,60,30.174918127528414,41.820073203621654,44.515892891543054
1034881,1034881_20227_2_0,0,0.06329732370663917,0.4819639278557114,8,51,29,75,7,74,28.22660762418175,51.040133720726715,42.98906080442469
1035069,1035069_20227_2_0,0,0.05523531816504899,0.40643787575150303,8,51,28,71,14,73,28.27713259923381,49.09172232585194,45.550594700844414
1035775,1035775_20227_2_0,1,0.00948562476942354,0.0,47,71,18,51,4,26,58.57334734875029,34.32422331231021,15.237444522307872
1037972,1037972_20227_2_0,1,0.01056358703298919,0.0,43,70,9,38,25,51,56.905925537493445,22.843838489774516,37.455479811221814
1040828,1040828_20227_2_0,1,0.049740258733100756,0.0,0,37,0,45,0,56,12.623716506670824,15.432545604383366,21.594917255050447
1042616,1042616_20227_2_0,1,0.03310773307748809,0.0,0,35,0,44,0,30,12.844297952081382,16.798320171329138,13.800327934680766
1045972,1045972_20227_2_0,0,0.006221825356818804,0.2680360721442886,23,42,48,71,26,51,32.666666666666664,59.600249287749286,38.10630341880342
1046084,1046084_20227_2_0,1,0.03152901136568845,0.0,0,41,0,34,0,32,15.520503180013353,13.73850100144067,13.60845426754278
1047034,1047034_20227_2_0,1,0.03516616461469773,0.0,0,43,0,38,0,32,15.558187889862012,15.146336084682755,13.196458950286686
1047254,1047254_20227_2_0,1,0.05255980031663064,0.0,0,46,0,44,0,36,17.859596981577504,19.197989123561403,14.280110450655537
1053930,1053930_20227_2_0,1,0.03237321202841921,0.0,0,34,0,43,0,41,13.057903562506416,18.966222921871257,15.437767359091065
1055110,1055110_20227_2_0,1,0.037354217513507766,0.0,0,44,0,47,0,46,13.971438740101432,16.326037310555506,19.11504582258208
1055187,1055187_20227_2_0,1,0.0012164466242498301,0.0,38,53,0,6,26,44,45.12204007285975,2.2923497267759565,34.40983606557377
1055346,1055346_20227_2_0,0,0.10312431796452363,0.27617735470941884,0,59,55,108,0,90,24.541860490100234,82.74042521190765,48.01652288817507
1056247,1056247_20227_2_0,1,0.032464057769028026,0.0,0,37,0,45,0,29,13.577893048493328,16.08302904139508,13.007200627922055
1057429,1057429_20227_2_0,1,0.002186945023924558,0.0,23,40,33,48,40,55,30.65450861195542,40.1757852077001,48.203647416413375
